L1=56cm	t initial	t final	five periods	average	L2=32 cm	t2 final	L=2 five period	average for L2	
5	23.17	30.67	7.50	1.50	5	10.01	15.6	5.59	1.12
10	50.21	57.72	7.51	1.50	10	25.39	31.07	5.68	1.14
15	67.79	75.23	7.44	1.49	15	50.13	55.87	5.74	1.15
20	87.15	94.54	7.39	1.48	20	62.94	68.28	5.34	1.07
25	104.79	112.25	7.46	1.49	25	74.11	79.55	5.44	1.09
30	125.19	132.74	7.55	1.51	30	95.07	100.67	5.60	1.12
35	142	149.54	7.54	1.51	35	111	116.53	5.53	1.11
40	180.39	187.95	7.56	1.51	40	134.3	139.96	5.66	1.13
45	199.34	207	7.66	1.53	45	145.8	151.4	5.60	1.12
50	232.69	240.3	7.61	1.52	50	164.8	170.52	5.72	1.14
55	252.08	259.8	7.72	1.54	55	186.5	192.14	5.64	1.13
60	279.1	286.84	7.74	1.55	60	205.3	211.09	5.79	1.16
